2015-09-17 10:33:03,093 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 10ms)
2015-09-17 10:33:03,124 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-17 10:33:03,127 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 8 (took 2ms)
2015-09-17 10:33:03,128 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-17 10:33:03,134 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 36 (took 5ms)
2015-09-17 10:33:03,215 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-17 10:33:03,218 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2015-09-17 10:33:03,219 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-09-17 10:33:03,220 [37] INFO  Umbraco.Core.PluginManager - [P4956/T36/D4] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 1ms)
2015-09-17 10:33:04,367 [37] INFO  Umbraco.Core.DatabaseContext - [P4956/T36/D4] CanConnect = True
2015-09-17 10:33:04,399 [37] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P4956/T36/D4] Initializing Umbraco internal event handlers for cache refreshing
2015-09-17 10:33:04,433 [37] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T36/D4] Initializing Examine and binding to business logic events
2015-09-17 10:33:04,527 [37] INFO  Umbraco.Web.Search.ExamineEvents - [P4956/T36/D4] Adding examine event handlers for index providers: 3
2015-09-17 10:33:04,550 [37] INFO  Umbraco.Core.CoreBootManager - [P4956/T36/D4] Umbraco application startup complete (took 1761ms)
